Generation, o25, o50, o75, n25, n50, n75 
0,11345.215612,30593.0077495,44745.2289544,776.948783004,2096.78235699,3067.20933164
1,8282.51761758,12216.3052675,17971.8260441,566.937597763,836.679964899,1231.3397525
2,8356.11826837,12359.3706995,30909.8431055,571.98444206,846.490054237,2118.50796257
3,10739.6656366,15683.4019592,31056.839272,735.425828961,1074.42103074,2128.58758492
4,3920.00178821,8548.93858237,11418.5328529,267.797061669,585.206255884,781.976193696
5,8655.63662643,11264.6129108,18107.1522038,592.522609875,771.421803574,1240.61915492
6,2567.09131277,6147.05330465,16872.9847957,175.027114065,420.50742665,1155.99149635
7,11322.004714,12712.8379012,14103.6710884,775.357196695,870.727529206,966.097861718
8,2708.34722788,2708.34722788,2708.34722788,184.713123657,184.713123657,184.713123657
9,3736.12719301,3736.12719301,3736.12719301,255.188661577,255.188661577,255.188661577
10,31.2714562598,31.2714562598,31.2714562598,1.14430401078,1.14430401078,1.14430401078
