Generation, o25, o50, o75, n25, n50, n75 
0,11.3241603179,12.1282142432,13.5013583461,0.177310071585,0.260903093747,0.403661261828
1,11.1735927089,11.4511167251,11.9443503025,0.161656393294,0.190509024328,0.241787780719
2,11.1284942968,12.6427641541,13.2632578347,0.156967761801,0.314397990972,0.378907273695
3,9.71368927354,12.5422096576,13.5691370532,0.00987833914137,0.303943898294,0.410707837674
4,11.9045054221,12.673685244,13.9698976188,0.237645329738,0.31761268501,0.452372688475
5,11.1063986832,11.8908828063,12.9539434287,0.154670603538,0.236229062019,0.346749572349
6,10.9447678334,13.1562923398,13.5830578463,0.137866741526,0.367786665112,0.412155105228
7,10.8105498533,10.8745039963,11.9186030222,0.123912843372,0.130561800515,0.239110978948
8,12.9514963161,13.1490868946,13.2636758595,0.346495159641,0.367037554981,0.378950733411
9,11.6818545717,12.8703609689,12.9236372431,0.214497557079,0.338059968098,0.343598806511
10,12.6958611134,12.6958611134,12.6958611134,0.319918187013,0.319918187013,0.319918187013
11,10.8244285896,10.8244285896,10.8244285896,0.125355738521,0.125355738521,0.125355738521
12,12.8843952539,12.8843952539,12.8843952539,0.339519034779,0.339519034779,0.339519034779
13,11.2711176061,11.2711176061,11.2711176061,0.171795515353,0.171795515353,0.171795515353
