Generation, o25, o50, o75, n25, n50, n75 
0,19.0351819659,19.0351819659,19.0351819659,0.221293482008,0.221293482008,0.221293482008
1,1.41384413386,12.5622844317,12.5622844317,-0.909288042092,-0.194006334003,-0.194006334003
2,3.40980685802,8.74121765312,8.74121765312,-0.781227471423,-0.439165217139,-0.439165217139
3,1.31624451857,6.50735243842,6.50735243842,-0.915550013962,-0.582489564197,-0.582489564197
4,1.49881386591,5.00479102681,5.00479102681,-0.903836401015,-0.678893604968,-0.678893604968
5,1.4280013608,1.47047304162,1.76552041105,-0.908379717233,-0.905654742654,-0.886724562222
6,1.34193950545,1.54343255271,1.73230778987,-0.913901428723,-0.90097367496,-0.88885547738
7,1.29437334805,1.40385046553,1.59212070514,-0.916953263904,-0.909929233861,-0.897849852802
8,1.33694267128,1.4541951791,5.2886818104,-0.914222024608,-0.90669912707,-0.660679228861
9,1.3482306223,1.46233411036,4.12121153051,-0.91349779192,-0.906176934862,-0.73558388939
10,1.35202726676,1.55157148397,1.73230778987,-0.913254199968,-0.900451482753,-0.88885547738
11,1.18502418439,1.30084130473,1.32635945178,-0.923969084456,-0.916538281093,-0.914901041863
12,1.32006833493,1.3938567972,1.4541951791,-0.915304678666,-0.91057042563,-0.90669912707
13,1.04212293997,1.10039738318,1.43444464416,-0.933137599823,-0.929398723159,-0.907966317456
14,1.03037560053,1.31797129598,1.31797129598,-0.933891306781,-0.915439224267,-0.915439224267
15,1.02427870349,1.09712570733,1.32635945178,-0.934282482481,-0.929608633229,-0.914901041863
16,1.04866629166,1.04866629166,1.30755917081,-0.932717779683,-0.932717779683,-0.916107264143
17,1.02427870349,1.02427870349,1.12462709102,-0.934282482481,-0.934282482481,-0.927844149932
18,1.02427870349,1.02427870349,1.3938567972,-0.934282482481,-0.934282482481,-0.91057042563
19,1.02427870349,1.02427870349,1.04212293997,-0.934282482481,-0.934282482481,-0.933137599823
